#;sport_type;Other;age;usage_frequency;usage_reason_regeneration;usage_reason_tension;usage_reason_injury;usage_reason_pain;usage_reason_existing_condition;usage_phase;application_method;product_evaluation_effectiveness;product_evaluation_likelihood_of_recommendation;effectiveness_rating;product_purity_rating;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;Other;recommendation_likelihood;reason_effectiveness;Ich habe doch keinen Bedarf;reason_price;Die Flasche ist in der Anwendung unpraktisch;importance_of_price;Wie viel wärst du bereit, maximal für den 50 ml Muscle Complex zu zahlen?;Wie lange kommst du in der Regel mit einer 50 ml Flasche aus?;Wenn du kostenlos unbegrenzt Muscle Complex zu Hause hättest – würdest du ihn häufiger nutzen?;Ab welchem Preis würdest du ihn vermutlich häufiger und ohne Zögern verwenden – so, wie’s für dich eigentlich am besten wäre?;Hast du noch weiteres Feedback zu unseren Produkten oder zum Service?;;;;;;;
ksrx1vkzbn7tfdvjksrx14uhyaa0mh0i;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;7;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Klasse wäre für mich wenn das komplett einziehen würde ohne einen Film zu hinterlassen;;;;;;;
n4dxkjb6ah1gvs5ijt2dxjn4dxkjkkoo;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;5;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
m5iamcm88muov4340tm5iosncgq3c008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
le0h0hl49nka4ub8paiq13le0h0hlmbg;Laufen;;55–64 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;10;;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
k8dxx04y8czo2c5c3dtjiwk8dxxe6j1b;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;5;4;8;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
dzb4c5f7d3ay04m3myena34ibsdzb4c5;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;4;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
w9oh6lkv1mjwozy4w9olshivrs30l1wy;;Hyrox;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
aeb3fw8hrmq446o6paeb3f0a7tah69rs;Laufen;;18–24 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;5;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
w5dacx6ww10581vgqkdfmw5dacxschlj;Laufen;;18–24 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;5;9;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
cyvuswy16we5pvnsybhcyvusw185aags;Laufen;;;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;7;10;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Eher nicht – ich habe gar nicht mehr Bedarf;;DANKE eine absolute Bereicherung in meinem Trainings- und Regeneratiosalltag als Trailäufer;;;;;;;
05nqvteswqqkbls65r9bf605nqvqabrj;Fußball;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;3;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
bak0v2oks2rc769qbak0v067nzns74c8;Triathlon;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
9ikgyngyh0sphcw9ikgyqmgo7yngp925;Triathlon;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;7;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;5;;;Der Preis ist mir zu hoch;;7;29,90€ oder weniger;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
q1s35pq24losfm4vdkq1s35pq28ulub1;Laufen;;35–44 Jahre;3-4x pro Woche;;;Verletzungen vorbeugen;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;6;8;;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Super Produkt;;;;;;;
c7z5wp0no4to9uc7z5wgyeze7e1jm2n7;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
ed0zaecrujghv8oum5ed0zazmt4d7zli;Triathlon;;25–34 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;4;8;;;;Entwickelt in Deutschland - Hergestellt in Österreich;;Einfach & schnell anzuwenden;;;;5;;;Der Preis ist mir zu hoch;;9;29,90€ oder weniger;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
enpscdxew7sq9enpsydd9fd6m808xqym;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;7;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
p3uwhpgxgbmiuo5z5p3uwg5busy7598n;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;7;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;1 Monat;Eher nicht – ich habe gar nicht mehr Bedarf;;;;;;;;;
8blmio02waoblqq8blm5hpk65ovc0fjs;Laufen;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;4;3;7;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;Zieht gut ein & fettet nicht;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;9;39,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
tpklxtzdc1tbo56tpklxzpa9wdeufisq;Laufen;;25–34 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;4;5;;Wissenschaftlich fundiert;;;;;;;;5;;;;Die Flasche ist in der Anwendung unpraktisch;5;39,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
5ww85cbrrxt7sh522y5ww98sxv2md59m;Laufen;;55–64 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;Der Preis ist für mich recht hoch, dadurch gehe ich sehr sparsam damit um. Ich liebe das Produkt und weiß die Wirkung sehr zu schätzen.;;;;;;;
1pxd5gkqz26d305v1pxd50cdu0h4a6e3;Triathlon;;45–54 Jahre;1-2x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;2;8;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
ylmr3c5w54eojj5yylmybm907qgj7u0c;Triathlon;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;6;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
qkc6yfhd41ydubkbbay1gqkc6yfhdcym;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
a511d9rrxogvmqv7rmva511d3mvmsftl;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;5;4;10;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
gdlfonejg9p0n33lgdlfo6vbb98wmnhu;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;3;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
qwr3ar9ifc6smo9i7yp7qwr3ar2bhgeb;Triathlon;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
37r8cc334fo6z29mso537r8c3530qxsc;Triathlon;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
pyr2w07m7n5mv2pzpyr2w0ui2dysnncc;Triathlon;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;3;2;2;;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;;;;;3;;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Das Produkt ist gut und es tut mir auch gut. Die Preise sind aber definitiv für mich viel zu hoch;;;;;;;
iqzmqvw1ezeneliiqzmqzzlvc86snuxd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7gjt42vicvgvupjj0435v7gjt42nhzi1;Muskelaufbau;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;2;6;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;;;;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;10;34,90 €;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Bitte den Spender (200ml) Auslaufsicherer gestallten. Habe Ihn im Kühlschrank stehen bzw. Aufgrund der Größe liegen und er läuft leider aus (Öl am Deckel) etc.;;;;;;;
nmum2q3t3818ib2nmum2qolp7mlbs3na;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;5;3;8;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Tolles Produkt.;;;;;;;
gpn8xgb9mqqiqwjul8gpn8v53af4hjkk;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;7;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
2n9ub0y8afn1gpfiaq32n9ubzg1lcrnl;Muskelaufbau;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;2;7;Spürbare Wirkung;;;Entwickelt in Deutschland - Hergestellt in Österreich;;;;Zieht gut ein & fettet nicht;;7;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
i694t7urevmotci6945fj7fptcc774wn;Laufen;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;8;Spürbare Wirkung;;;;;;;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
6ld2553kp9xn613ro6ld2553kwaniso1;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;5;;;Der Preis ist mir zu hoch;;9;29,90€ oder weniger;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
fmp1hrewvvb5hk121lfmp1h6fcz25uxh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
xug700x8gwlb1vcjzxug700iejlrhjvh;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;7;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
uw6c68in54m19myx5uw6c60ncoy18f3q;Keinen Sport;;65 Jahre oder älter;5-7x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
wqr5i5spipbrwqr5f9h0ygm5jv52mzxc;Laufen;;55–64 Jahre;1-2x pro Woche;;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;7;4;10;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Ich hatte auch dieses Schlafgel....wirkt super, aber schmeckt ekelig 😉;;;;;;;
9jozdxyk7shfj7dtp9jozj1l8bli5z7x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
yzhpy77n7rtaa0h3yzh9rqqa2fvb17q1;Laufen;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
hpmqr6o52a46rzl1okhpmqrw55bu2jkj;Laufen;;65 Jahre oder älter;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
enc47mlkjl0e042y7rtgenc47mllfsv4;Laufen;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
